,matrix_index
311903,0
311930,1
312010,2
312098,3
312103,4
312132,5
312133,6
312134,7
312139,8
312188,9
312220,10
312233,11
312236,12
312264,13
312326,14
312343,15
312346,16
312382,17
312386,18
312388,19
312420,20
312421,21
312422,22
312425,23
312439,24
312513,25
312514,26
312517,27
312520,28
312523,29
312525,30
312527,31
312530,32
312562,33
312564,34
312566,35
312570,36
312648,37
312651,38
312689,39
312694,40
312745,41
312757,42
312771,43
312782,44
312804,45
312807,46
312852,47
312854,48
312856,49
312857,50
312858,51
312865,52
312895,53
312896,54
312898,55
312900,56
312940,57
312942,58
312944,59
312946,60
313000,61
313003,62
313005,63
313010,64
313035,65
313037,66
313055,67
313080,68
313082,69
313111,70
313114,71
313132,72
313144,73
313159,74
313166,75
313172,76
313178,77
313184,78
313190,79
313197,80
313204,81
313339,82
313344,83
313349,84
313438,85
313450,86
313487,87
313493,88
313512,89
313551,90
313552,91
313658,92
313772,93
313846,94
313852,95
313951,96
313956,97
313979,98
314013,99
314025,100
314036,101
314042,102
314121,103
314147,104
314157,105
314165,106
314217,107
314230,108
314241,109
314248,110
314371,111
314379,112
314419,113
314433,114
314446,115
314460,116
314485,117
314491,118
314501,119
314548,120
314559,121
314598,122
314617,123
314625,124
314652,125
314668,126
314681,127
314689,128
314697,129
314698,130
314711,131
314712,132
314730,133
314876,134
314877,135
314886,136
314899,137
314909,138
314923,139
314936,140
314955,141
314968,142
314982,143
314994,144
315006,145
315017,146
315030,147
315042,148
315054,149
315060,150
315804,151
315822,152
315823,153
315824,154
315825,155
315826,156
315827,157
315828,158
315830,159
315831,160
315833,161
315834,162
315835,163
315836,164
315837,165
315838,166
315839,167
315841,168
315842,169
315843,170
315846,171
315847,172
315849,173
315850,174
315852,175
315853,176
315854,177
315855,178
315856,179
315857,180
315858,181
315860,182
315861,183
315866,184
315867,185
315872,186
315873,187
315874,188
315875,189
315879,190
315880,191
315882,192
315883,193
315886,194
315887,195
315891,196
315892,197
315894,198
315895,199
315900,200
315901,201
315903,202
315904,203
315907,204
315908,205
315910,206
315911,207
315913,208
315914,209
315915,210
315927,211
315938,212
315955,213
315969,214
315982,215
315993,216
316001,217
316009,218
316018,219
316019,220
316032,221
316045,222
316063,223
316064,224
316073,225
316074,226
316084,227
316085,228
316114,229
316118,230
316129,231
316174,232
316271,233
316279,234
316280,235
316281,236
316314,237
316328,238
316364,239
316387,240
316388,241
316399,242
316400,243
316414,244
316429,245
316438,246
316451,247
317064,248
317081,249
317088,250
317139,251
317141,252
317143,253
317146,254
317157,255
317166,256
317168,257
317171,258
317752,259
317814,260
317815,261
317842,262
317843,263
317852,264
317853,265
317861,266
317862,267
317869,268
317870,269
317884,270
317885,271
317895,272
317896,273
317902,274
317903,275
317909,276
317910,277
317933,278
317934,279
317947,280
317948,281
317956,282
317960,283
317974,284
317998,285
318022,286
318028,287
318029,288
318035,289
318036,290
318052,291
318053,292
318076,293
318077,294
318102,295
318113,296
318126,297
318135,298
318142,299
318179,300
318180,301
318218,302
318236,303
318282,304
318354,305
318366,306
318383,307
318401,308
318412,309
318421,310
318432,311
318443,312
318451,313
318484,314
318493,315
318528,316
318540,317
318550,318
318551,319
318565,320
318566,321
318575,322
318576,323
318586,324
318593,325
318599,326
318611,327
318612,328
318620,329
318626,330
318632,331
318636,332
318649,333
318650,334
318656,335
318665,336
318666,337
318674,338
318680,339
318711,340
318721,341
318736,342
318742,343
318744,344
318753,345
318764,346
318772,347
318773,348
318775,349
318787,350
318788,351
318800,352
318801,353
318815,354
318816,355
318832,356
318844,357
